,R,G,B,hist,framenum,frameName
0,13.4005602241,11.6330532213,9.85714285714,0.279780564263,1.0,bourne/bourne-001.png
1,25.7480916031,21.1221374046,17.3053435115,0.205329153605,1.0,bourne/bourne-001.png
2,84.1565217391,103.547826087,142.947826087,0.180250783699,1.0,bourne/bourne-001.png
3,35.9274193548,33.8064516129,31.6048387097,0.0971786833856,1.0,bourne/bourne-001.png
4,70.1120689655,87.9655172414,125.913793103,0.0909090909091,1.0,bourne/bourne-001.png
5,113.904109589,130.547945205,151.493150685,0.057210031348,1.0,bourne/bourne-001.png
6,143.285714286,157.7,167.771428571,0.0548589341693,1.0,bourne/bourne-001.png
7,48.4318181818,58.1818181818,78.4090909091,0.0344827586207,1.0,bourne/bourne-001.png
0,26.0427350427,23.0170940171,21.1965811966,0.183385579937,2.0,bourne/bourne-002.png
1,40.4428571429,53.1952380952,81.2285714286,0.164576802508,2.0,bourne/bourne-002.png
2,55.3743589744,71.9538461538,106.082051282,0.152821316614,2.0,bourne/bourne-002.png
3,90.3184357542,102.346368715,113.262569832,0.140282131661,2.0,bourne/bourne-002.png
4,39.5290697674,43.9709302326,49.3023255814,0.134796238245,2.0,bourne/bourne-002.png
5,72.9465648855,78.5572519084,73.8702290076,0.102664576803,2.0,bourne/bourne-002.png
6,120.326923077,132.336538462,136.259615385,0.0815047021944,2.0,bourne/bourne-002.png
7,168.941176471,175.196078431,168.647058824,0.0399686520376,2.0,bourne/bourne-002.png
0,25.3783783784,20.777027027,19.4256756757,0.23197492163,3.0,bourne/bourne-003.png
1,39.8698630137,35.4931506849,35.051369863,0.228840125392,3.0,bourne/bourne-003.png
2,129.158940397,148.119205298,148.231788079,0.118338557994,3.0,bourne/bourne-003.png
3,52.3664122137,59.320610687,73.1603053435,0.102664576803,3.0,bourne/bourne-003.png
4,76.4308943089,85.243902439,99.918699187,0.096394984326,3.0,bourne/bourne-003.png
5,150.908256881,166.899082569,165.76146789,0.0854231974922,3.0,bourne/bourne-003.png
6,105.989010989,117.681318681,120.307692308,0.0713166144201,3.0,bourne/bourne-003.png
7,191.86746988,196.060240964,186.506024096,0.0650470219436,3.0,bourne/bourne-003.png
0,142.355421687,166.725903614,172.412650602,0.260188087774,4.0,bourne/bourne-004.png
1,120.777251185,139.241706161,152.426540284,0.165360501567,4.0,bourne/bourne-004.png
2,87.5163398693,105.248366013,141.437908497,0.119905956113,4.0,bourne/bourne-004.png
3,67.7793103448,79.8965517241,105.786206897,0.113636363636,4.0,bourne/bourne-004.png
4,56.1366906475,62.7194244604,74.0143884892,0.108934169279,4.0,bourne/bourne-004.png
5,29.7244094488,32.9291338583,42.3622047244,0.0995297805643,4.0,bourne/bourne-004.png
6,99.4128440367,108.247706422,102.100917431,0.0854231974922,4.0,bourne/bourne-004.png
7,170.05,184.766666667,190.816666667,0.0470219435737,4.0,bourne/bourne-004.png
0,147.517241379,170.0651341,175.731800766,0.204545454545,5.0,bourne/bourne-005.png
1,59.9850746269,66.4328358209,77.3582089552,0.157523510972,5.0,bourne/bourne-005.png
2,21.70625,21.6375,24.025,0.12539184953,5.0,bourne/bourne-005.png
3,35.9487179487,41.3076923077,53.6217948718,0.122257053292,5.0,bourne/bourne-005.png
4,122.071895425,140.117647059,151.640522876,0.119905956113,5.0,bourne/bourne-005.png
5,64.0378787879,81.1136363636,117.075757576,0.103448275862,5.0,bourne/bourne-005.png
6,90.0917431193,108.577981651,141.201834862,0.0854231974922,5.0,bourne/bourne-005.png
7,91.2211538462,97.8076923077,95.6057692308,0.0815047021944,5.0,bourne/bourne-005.png
0,61.8949152542,80.5423728814,118.26440678,0.231191222571,6.0,bourne/bourne-006.png
1,84.2153284672,101.49270073,135.897810219,0.21473354232,6.0,bourne/bourne-006.png
2,19.4628099174,16.6157024793,12.1900826446,0.189655172414,6.0,bourne/bourne-006.png
3,108.98,129.16,168.66,0.116771159875,6.0,bourne/bourne-006.png
4,57.4701492537,67.2089552239,82.9626865672,0.105015673981,6.0,bourne/bourne-006.png
5,135.378640777,151.718446602,175.54368932,0.0815047021944,6.0,bourne/bourne-006.png
6,39.338028169,44.6056338028,55.0563380282,0.0556426332288,6.0,bourne/bourne-006.png
7,196.857142857,203.428571429,203.714285714,0.00548589341693,6.0,bourne/bourne-006.png
0,61.4076655052,78.1637630662,112.18466899,0.224921630094,7.0,bourne/bourne-007.png
1,80.3970588235,97.0808823529,131.705882353,0.213166144201,7.0,bourne/bourne-007.png
2,121.56462585,141.360544218,179.469387755,0.115203761755,7.0,bourne/bourne-007.png
3,16.4436619718,14.2253521127,10.5915492958,0.111285266458,7.0,bourne/bourne-007.png
4,34.2983870968,32.1451612903,29.7096774194,0.0971786833856,7.0,bourne/bourne-007.png
5,51.5081967213,59.6393442623,75.606557377,0.0956112852665,7.0,bourne/bourne-007.png
6,101.813559322,118.491525424,153.677966102,0.0924764890282,7.0,bourne/bourne-007.png
7,156.328125,167.734375,178.5,0.0501567398119,7.0,bourne/bourne-007.png
0,42.2408536585,37.6554878049,28.387195122,0.257053291536,8.0,bourne/bourne-008.png
1,76.9296875,93.9375,130.31640625,0.200626959248,8.0,bourne/bourne-008.png
2,60.3697916667,77.0729166667,112.536458333,0.150470219436,8.0,bourne/bourne-008.png
3,112.697530864,132.450617284,171.080246914,0.126959247649,8.0,bourne/bourne-008.png
4,93.8965517241,112.448275862,152.810344828,0.0909090909091,8.0,bourne/bourne-008.png
5,48.4857142857,58.619047619,79.6666666667,0.0822884012539,8.0,bourne/bourne-008.png
6,141.366666667,157.744444444,181.888888889,0.0705329153605,8.0,bourne/bourne-008.png
7,207.740740741,214.851851852,211.888888889,0.0211598746082,8.0,bourne/bourne-008.png
0,46.7732240437,42.956284153,32.9836065574,0.286833855799,9.0,bourne/bourne-009.png
1,63.2686567164,79.5273631841,114.577114428,0.157523510972,9.0,bourne/bourne-009.png
2,78.8757062147,96.9039548023,134.209039548,0.138714733542,9.0,bourne/bourne-009.png
3,123.426666667,141.213333333,172.76,0.117554858934,9.0,bourne/bourne-009.png
4,98.071942446,117.294964029,156.366906475,0.108934169279,9.0,bourne/bourne-009.png
5,50.4173228346,61.4330708661,82.4960629921,0.0995297805643,9.0,bourne/bourne-009.png
6,153.595238095,166.773809524,187.607142857,0.0658307210031,9.0,bourne/bourne-009.png
7,211.0,219.59375,216.15625,0.025078369906,9.0,bourne/bourne-009.png
0,16.6438848921,14.9676258993,12.3057553957,0.217868338558,10.0,bourne/bourne-010.png
1,84.8014981273,101.692883895,135.423220974,0.209247648903,10.0,bourne/bourne-010.png
2,69.3807106599,86.9949238579,123.888324873,0.155172413793,10.0,bourne/bourne-010.png
3,120.975,138.858333333,170.791666667,0.0940438871473,10.0,bourne/bourne-010.png
4,101.084033613,119.361344538,158.016806723,0.0924764890282,10.0,bourne/bourne-010.png
5,60.4358974359,72.6239316239,94.7521367521,0.0916927899687,10.0,bourne/bourne-010.png
6,142.523364486,160.710280374,189.794392523,0.083855799373,10.0,bourne/bourne-010.png
7,41.4929577465,50.0281690141,66.7605633803,0.0556426332288,10.0,bourne/bourne-010.png
0,89.6639676113,110.720647773,144.344129555,0.193573667712,11.0,bourne/bourne-011.png
1,37.5982905983,42.6324786325,52.1452991453,0.183385579937,11.0,bourne/bourne-011.png
2,55.1517857143,63.3973214286,78.1071428571,0.175548589342,11.0,bourne/bourne-011.png
3,122.8125,141.636363636,168.732954545,0.137931034483,11.0,bourne/bourne-011.png
4,67.8636363636,84.1818181818,116.305194805,0.120689655172,11.0,bourne/bourne-011.png
5,20.524822695,21.1276595745,25.7446808511,0.110501567398,11.0,bourne/bourne-011.png
6,156.631578947,172.035087719,188.315789474,0.044670846395,11.0,bourne/bourne-011.png
7,107.674418605,109.88372093,92.9534883721,0.0336990595611,11.0,bourne/bourne-011.png
0,19.8190789474,19.4506578947,21.6776315789,0.238244514107,12.0,bourne/bourne-012.png
1,35.2918660287,38.7942583732,46.3636363636,0.163793103448,12.0,bourne/bourne-012.png
2,60.4504950495,64.4108910891,69.7227722772,0.158307210031,12.0,bourne/bourne-012.png
3,74.5159574468,84.9468085106,100.29787234,0.147335423197,12.0,bourne/bourne-012.png
4,88.9047619048,108.317460317,138.396825397,0.0987460815047,12.0,bourne/bourne-012.png
5,116.474576271,136.042372881,164.305084746,0.0924764890282,12.0,bourne/bourne-012.png
6,40.6533333333,55.1466666667,89.0666666667,0.0587774294671,12.0,bourne/bourne-012.png
7,141.722222222,160.907407407,186.814814815,0.0423197492163,12.0,bourne/bourne-012.png
0,13.763803681,17.472392638,25.0828220859,0.255485893417,13.0,bourne/bourne-013.png
1,7.14828897338,6.78326996198,8.67300380228,0.206112852665,13.0,bourne/bourne-013.png
2,11.056,11.612,17.784,0.19592476489,13.0,bourne/bourne-013.png
3,16.511627907,24.8527131783,37.3643410853,0.101097178683,13.0,bourne/bourne-013.png
4,22.6404494382,36.9887640449,52.6629213483,0.0697492163009,13.0,bourne/bourne-013.png
5,49.525,65.1375,80.2625,0.0626959247649,13.0,bourne/bourne-013.png
6,33.1578947368,49.8815789474,68.1184210526,0.0595611285266,13.0,bourne/bourne-013.png
7,61.9682539683,77.5873015873,95.5396825397,0.0493730407524,13.0,bourne/bourne-013.png
0,13.0289855072,16.231884058,23.8202898551,0.269592476489,14.0,bourne/bourne-014.png
1,10.6185185185,10.962962963,16.6259259259,0.211598746082,14.0,bourne/bourne-014.png
2,7.13452914798,6.56950672646,8.23766816143,0.174764890282,14.0,bourne/bourne-014.png
3,16.4822695035,22.9787234043,34.609929078,0.111285266458,14.0,bourne/bourne-014.png
4,45.075,61.325,77.0625,0.0626959247649,14.0,bourne/bourne-014.png
5,62.1447368421,77.3947368421,93.6973684211,0.0595611285266,14.0,bourne/bourne-014.png
6,21.1095890411,34.4520547945,50.9315068493,0.057210031348,14.0,bourne/bourne-014.png
7,30.3676470588,45.6617647059,63.5441176471,0.0532915360502,14.0,bourne/bourne-014.png
0,42.3970588235,53.0955882353,75.6102941176,0.213166144201,15.0,bourne/bourne-015.png
1,61.908,73.948,95.896,0.19592476489,15.0,bourne/bourne-015.png
2,74.9507389163,89.8522167488,117.477832512,0.159090909091,15.0,bourne/bourne-015.png
3,94.9182389937,109.308176101,133.13836478,0.12460815047,15.0,bourne/bourne-015.png
4,23.0202702703,29.222972973,39.5743243243,0.115987460815,15.0,bourne/bourne-015.png
5,116.3125,130.678571429,150.4375,0.0877742946708,15.0,bourne/bourne-015.png
6,66.6823529412,55.7764705882,28.5176470588,0.0666144200627,15.0,bourne/bourne-015.png
7,141.382978723,155.85106383,172.468085106,0.0368338557994,15.0,bourne/bourne-015.png
0,46.5677966102,58.1610169492,81.9703389831,0.184952978056,16.0,bourne/bourne-016.png
1,65.1037735849,54.4858490566,28.8113207547,0.166144200627,16.0,bourne/bourne-016.png
2,61.4444444444,73.5185185185,99.1216931217,0.148119122257,16.0,bourne/bourne-016.png
3,81.0681818182,94.1647727273,118.767045455,0.137931034483,16.0,bourne/bourne-016.png
4,100.874125874,114.874125874,139.104895105,0.112068965517,16.0,bourne/bourne-016.png
5,16.9197080292,23.3576642336,35.1532846715,0.10736677116,16.0,bourne/bourne-016.png
6,32.641025641,42.264957265,60.8717948718,0.0916927899687,16.0,bourne/bourne-016.png
7,127.03030303,140.560606061,160.787878788,0.051724137931,16.0,bourne/bourne-016.png
0,39.52734375,49.81640625,64.5,0.200626959248,17.0,bourne/bourne-017.png
1,49.776371308,65.746835443,95.4725738397,0.185736677116,17.0,bourne/bourne-017.png
2,80.75,91.9241071429,103.160714286,0.175548589342,17.0,bourne/bourne-017.png
3,24.3333333333,26.5045045045,29.6936936937,0.173981191223,17.0,bourne/bourne-017.png
