,R,G,B,hist,framenum,frameName
0,63.6430020284,55.7890466531,52.9695740365,0.273888888889,1.0,mascotas/mascotas-001.png
1,85.7624633431,94.008797654,111.472140762,0.189444444444,1.0,mascotas/mascotas-001.png
2,33.6142322097,32.6329588015,39.1760299625,0.148333333333,1.0,mascotas/mascotas-001.png
3,32.1422594142,44.8284518828,81.3179916318,0.132777777778,1.0,mascotas/mascotas-001.png
4,183.888297872,178.808510638,177.946808511,0.104444444444,1.0,mascotas/mascotas-001.png
5,217.423913043,223.956521739,237.22826087,0.0511111111111,1.0,mascotas/mascotas-001.png
6,146.571428571,136.802197802,131.032967033,0.0505555555556,1.0,mascotas/mascotas-001.png
7,48.7191011236,77.1348314607,141.494382022,0.0494444444444,1.0,mascotas/mascotas-001.png
0,62.0703933747,53.3664596273,49.6107660455,0.268888888889,2.0,mascotas/mascotas-002.png
1,40.6439628483,36.4489164087,38.0464396285,0.178888888889,2.0,mascotas/mascotas-002.png
2,179.057017544,174.412280702,174.135964912,0.126666666667,2.0,mascotas/mascotas-002.png
3,30.3611111111,43.6111111111,80.9490740741,0.12,2.0,mascotas/mascotas-002.png
4,76.5823529412,81.6823529412,97.0176470588,0.0944444444444,2.0,mascotas/mascotas-002.png
5,112.291666667,115.381944444,125.625,0.08,2.0,mascotas/mascotas-002.png
6,52.8712121212,83.1818181818,149.113636364,0.0733333333333,2.0,mascotas/mascotas-002.png
7,213.365384615,221.442307692,235.625,0.0577777777778,2.0,mascotas/mascotas-002.png
0,57.351552795,48.8844720497,45.549068323,0.447777777778,3.0,mascotas/mascotas-003.png
1,27.5910931174,35.9433198381,60.5991902834,0.136666666667,3.0,mascotas/mascotas-003.png
2,184.287234043,179.632978723,180.053191489,0.104444444444,3.0,mascotas/mascotas-003.png
3,90.525974026,94.0519480519,107.318181818,0.0855555555556,3.0,mascotas/mascotas-003.png
4,37.0551181102,59.0236220472,114.362204724,0.0705555555556,3.0,mascotas/mascotas-003.png
5,148.617647059,140.323529412,137.68627451,0.0566666666667,3.0,mascotas/mascotas-003.png
6,216.155555556,223.3,237.611111111,0.05,3.0,mascotas/mascotas-003.png
7,64.3563218391,98.0459770115,167.344827586,0.0483333333333,3.0,mascotas/mascotas-003.png
0,55.8470906631,47.201623816,43.3058186739,0.41,4.0,mascotas/mascotas-004.png
1,25.1293103448,33.9482758621,56.9267241379,0.128888888889,4.0,mascotas/mascotas-004.png
2,43.9253731343,57.1194029851,93.6666666667,0.112777777778,4.0,mascotas/mascotas-004.png
