,R,G,B,hist,framenum,frameName
0,4.47522522523,2.05855855856,4.88288288288,0.444,1.0,monstruo/monstruo-001.png
1,4.56593406593,8.0989010989,15.1813186813,0.183,1.0,monstruo/monstruo-001.png
2,5.33125,15.14375,24.9625,0.159,1.0,monstruo/monstruo-001.png
3,10.1571428571,24.35,35.1428571429,0.14,1.0,monstruo/monstruo-001.png
4,16.0888888889,38.4888888889,51.7333333333,0.045,1.0,monstruo/monstruo-001.png
5,21.125,49.75,76.75,0.016,1.0,monstruo/monstruo-001.png
6,24.2857142857,98.7142857143,146.857142857,0.007,1.0,monstruo/monstruo-001.png
7,24.8333333333,73.1666666667,114.166666667,0.006,1.0,monstruo/monstruo-001.png
0,4.78638497653,2.38262910798,5.19248826291,0.426,2.0,monstruo/monstruo-002.png
1,4.28054298643,6.49773755656,15.4253393665,0.22,2.0,monstruo/monstruo-002.png
2,5.84848484848,13.9772727273,22.3333333333,0.133,2.0,monstruo/monstruo-002.png
3,8.01086956522,20.6413043478,30.75,0.092,2.0,monstruo/monstruo-002.png
4,12.9104477612,30.2835820896,42.2985074627,0.067,2.0,monstruo/monstruo-002.png
5,19.6279069767,42.5813953488,56.5581395349,0.043,2.0,monstruo/monstruo-002.png
6,37.3571428571,54.1428571429,75.6428571429,0.014,2.0,monstruo/monstruo-002.png
7,20.6,66.6,108.6,0.005,2.0,monstruo/monstruo-002.png
0,4.96577017115,2.07579462103,4.57457212714,0.409,3.0,monstruo/monstruo-003.png
1,4.7,6.08695652174,14.5826086957,0.23,3.0,monstruo/monstruo-003.png
2,5.54861111111,13.9027777778,21.0902777778,0.144,3.0,monstruo/monstruo-003.png
3,9.45263157895,21.7578947368,29.6736842105,0.095,3.0,monstruo/monstruo-003.png
4,13.275862069,30.4137931034,39.8448275862,0.058,3.0,monstruo/monstruo-003.png
5,17.8387096774,41.8387096774,54.1290322581,0.031,3.0,monstruo/monstruo-003.png
6,24.2222222222,50.3703703704,73.7037037037,0.027,3.0,monstruo/monstruo-003.png
7,43.1666666667,71.3333333333,101.5,0.006,3.0,monstruo/monstruo-003.png
0,4.99342105263,2.54276315789,5.37828947368,0.304,4.0,monstruo/monstruo-004.png
1,4.74358974359,6.65384615385,14.8931623932,0.234,4.0,monstruo/monstruo-004.png
2,6.34821428571,14.8526785714,21.8169642857,0.224,4.0,monstruo/monstruo-004.png
3,9.32116788321,22.9416058394,33.2700729927,0.137,4.0,monstruo/monstruo-004.png
4,15.7037037037,37.537037037,48.7407407407,0.054,4.0,monstruo/monstruo-004.png
5,18.275862069,47.4827586207,69.7931034483,0.029,4.0,monstruo/monstruo-004.png
6,35.6666666667,70.3333333333,101.333333333,0.009,4.0,monstruo/monstruo-004.png
