,R,G,B,hist,framenum,frameName
0,1.8465266559,6.46042003231,4.42487883683,0.468939393939,1.0,tarzan/tarzan-001.png
1,13.4072164948,23.1391752577,10.1443298969,0.14696969697,1.0,tarzan/tarzan-001.png
2,34.6513157895,43.9605263158,21.9210526316,0.115151515152,1.0,tarzan/tarzan-001.png
3,56.2887323944,64.9647887324,34.6830985915,0.107575757576,1.0,tarzan/tarzan-001.png
4,75.9262295082,89.1967213115,51.7049180328,0.0924242424242,1.0,tarzan/tarzan-001.png
5,99.2222222222,115.619047619,73.2063492063,0.0477272727273,1.0,tarzan/tarzan-001.png
6,134.315789474,156.631578947,112.368421053,0.0143939393939,1.0,tarzan/tarzan-001.png
7,177.222222222,221.666666667,178.333333333,0.00681818181818,1.0,tarzan/tarzan-001.png
0,1.71885521886,6.21885521886,3.83164983165,0.452272727273,2.0,tarzan/tarzan-002.png
1,10.6307692308,20.041025641,7.80512820513,0.145454545455,2.0,tarzan/tarzan-002.png
2,29.5642857143,38.1714285714,18.3214285714,0.106060606061,2.0,tarzan/tarzan-002.png
3,45.0703125,54.1875,26.9765625,0.0969696969697,2.0,tarzan/tarzan-002.png
4,63.623853211,73.5504587156,39.6697247706,0.0825757575758,2.0,tarzan/tarzan-002.png
5,84.0105263158,95.9578947368,57.2105263158,0.0719696969697,2.0,tarzan/tarzan-002.png
6,111.355555556,133.355555556,90.9777777778,0.0340909090909,2.0,tarzan/tarzan-002.png
7,159.785714286,192.0,148.642857143,0.0106060606061,2.0,tarzan/tarzan-002.png
0,2.41916167665,7.38023952096,3.63173652695,0.506060606061,3.0,tarzan/tarzan-003.png
1,36.1156069364,44.8265895954,21.1502890173,0.131060606061,3.0,tarzan/tarzan-003.png
2,18.3430232558,26.5348837209,11.3255813953,0.130303030303,3.0,tarzan/tarzan-003.png
3,54.3389830508,63.8474576271,32.3305084746,0.0893939393939,3.0,tarzan/tarzan-003.png
4,76.5,88.3272727273,49.7818181818,0.0833333333333,3.0,tarzan/tarzan-003.png
5,101.086956522,118.739130435,76.4347826087,0.0348484848485,3.0,tarzan/tarzan-003.png
6,133.653846154,158.076923077,113.961538462,0.019696969697,3.0,tarzan/tarzan-003.png
7,162.0,212.857142857,167.714285714,0.00530303030303,3.0,tarzan/tarzan-003.png
0,16.5510204082,22.493877551,10.7469387755,0.185606060606,4.0,tarzan/tarzan-004.png
1,56.3151260504,67.8361344538,42.9201680672,0.180303030303,4.0,tarzan/tarzan-004.png
2,34.576419214,46.7292576419,24.7816593886,0.173484848485,4.0,tarzan/tarzan-004.png
3,76.3431372549,90.3137254902,61.9705882353,0.154545454545,4.0,tarzan/tarzan-004.png
4,99.0382513661,111.50273224,83.9890710383,0.138636363636,4.0,tarzan/tarzan-004.png
5,120.84,133.656,105.688,0.094696969697,4.0,tarzan/tarzan-004.png
6,143.208955224,161.746268657,135.28358209,0.0507575757576,4.0,tarzan/tarzan-004.png
7,178.24137931,197.137931034,178.344827586,0.0219696969697,4.0,tarzan/tarzan-004.png
0,36.7522522523,47.7522522523,27.7837837838,0.168181818182,5.0,tarzan/tarzan-005.png
1,55.5284974093,67.2901554404,45.2590673575,0.14696969697,5.0,tarzan/tarzan-005.png
2,115.360824742,126.226804124,101.484536082,0.14696969697,5.0,tarzan/tarzan-005.png
3,74.6842105263,86.1473684211,61.9684210526,0.143939393939,5.0,tarzan/tarzan-005.png
4,95.1534391534,108.433862434,80.4444444444,0.143181818182,5.0,tarzan/tarzan-005.png
5,18.967032967,26.3516483516,14.0824175824,0.137121212121,5.0,tarzan/tarzan-005.png
6,136.605504587,157.605504587,130.100917431,0.0825757575758,5.0,tarzan/tarzan-005.png
7,175.56097561,197.707317073,175.048780488,0.0310606060606,5.0,tarzan/tarzan-005.png
0,63.7397260274,73.6392694064,52.2374429224,0.166666666667,6.0,tarzan/tarzan-006.png
1,19.9771689498,28.2739726027,14.1187214612,0.165909090909,6.0,tarzan/tarzan-006.png
2,105.744075829,115.971563981,92.0,0.159848484848,6.0,tarzan/tarzan-006.png
3,40.1626794258,51.4210526316,31.8421052632,0.158333333333,6.0,tarzan/tarzan-006.png
4,84.0218579235,97.0327868852,69.1092896175,0.137878787879,6.0,tarzan/tarzan-006.png
5,126.668604651,139.825581395,113.238372093,0.130303030303,6.0,tarzan/tarzan-006.png
