,R,G,B,hist,framenum,frameName
0,60.9205298013,53.0927152318,32.0794701987,0.228787878788,1.0,xmen/xmen-001.png
1,70.95,63.4535714286,43.2,0.212121212121,1.0,xmen/xmen-001.png
2,49.962962963,40.0462962963,19.9490740741,0.163636363636,1.0,xmen/xmen-001.png
3,16.4591194969,10.7610062893,5.96855345912,0.120454545455,1.0,xmen/xmen-001.png
4,35.3333333333,27.3333333333,12.4705882353,0.115909090909,1.0,xmen/xmen-001.png
5,87.8490566038,75.1886792453,55.1698113208,0.080303030303,1.0,xmen/xmen-001.png
6,95.9811320755,74.8301886792,29.9245283019,0.0401515151515,1.0,xmen/xmen-001.png
7,110.039215686,90.1764705882,66.9019607843,0.0386363636364,1.0,xmen/xmen-001.png
0,60.0814332248,52.1237785016,30.6026058632,0.232575757576,2.0,xmen/xmen-002.png
1,70.5967213115,62.8426229508,42.8,0.231060606061,2.0,xmen/xmen-002.png
2,48.1441860465,37.7674418605,18.6976744186,0.162878787879,2.0,xmen/xmen-002.png
3,33.4473684211,25.4868421053,12.5394736842,0.114393939394,2.0,xmen/xmen-002.png
4,15.0458015267,10.0,5.41984732824,0.1,2.0,xmen/xmen-002.png
5,87.8673469388,76.0510204082,55.6734693878,0.0742424242424,2.0,xmen/xmen-002.png
6,109.196721311,89.2786885246,66.7049180328,0.0462121212121,2.0,xmen/xmen-002.png
7,97.5098039216,75.5882352941,30.7843137255,0.0386363636364,2.0,xmen/xmen-002.png
0,64.5461538462,57.4,35.9038461538,0.19696969697,3.0,xmen/xmen-003.png
1,55.4635193133,47.3905579399,27.69527897,0.176515151515,3.0,xmen/xmen-003.png
2,44.181372549,34.0441176471,16.4460784314,0.154545454545,3.0,xmen/xmen-003.png
3,74.5027624309,66.9392265193,45.8563535912,0.137121212121,3.0,xmen/xmen-003.png
4,14.896969697,9.46666666667,5.10909090909,0.125,3.0,xmen/xmen-003.png
5,30.1210191083,22.5796178344,12.7388535032,0.118939393939,3.0,xmen/xmen-003.png
6,98.2253521127,85.5633802817,63.4084507042,0.0537878787879,3.0,xmen/xmen-003.png
7,97.7551020408,76.3673469388,31.2040816327,0.0371212121212,3.0,xmen/xmen-003.png
0,59.5036231884,52.9492753623,34.5797101449,0.209090909091,4.0,xmen/xmen-004.png
1,71.968503937,64.0708661417,44.5590551181,0.192424242424,4.0,xmen/xmen-004.png
2,49.4884792627,39.3548387097,19.4470046083,0.163636363636,4.0,xmen/xmen-004.png
3,35.5053763441,26.876344086,13.3494623656,0.141666666667,4.0,xmen/xmen-004.png
4,17.0573248408,10.9299363057,5.82165605096,0.118939393939,4.0,xmen/xmen-004.png
5,93.9009009009,80.8558558559,60.027027027,0.0840909090909,4.0,xmen/xmen-004.png
6,69.8378378378,54.0540540541,21.7837837838,0.0560606060606,4.0,xmen/xmen-004.png
7,96.5777777778,76.5777777778,33.4,0.0340909090909,4.0,xmen/xmen-004.png
0,59.1532846715,52.7773722628,34.5218978102,0.207575757576,5.0,xmen/xmen-005.png
1,70.1722689076,63.0840336134,43.3823529412,0.180303030303,5.0,xmen/xmen-005.png
2,48.7488789238,39.269058296,19.802690583,0.168939393939,5.0,xmen/xmen-005.png
3,35.1111111111,26.7666666667,12.9388888889,0.136363636364,5.0,xmen/xmen-005.png
4,16.7808219178,11.1712328767,5.78767123288,0.110606060606,5.0,xmen/xmen-005.png
5,90.0803571429,74.5892857143,47.1517857143,0.0848484848485,5.0,xmen/xmen-005.png
6,69.7021276596,54.4361702128,20.9680851064,0.0712121212121,5.0,xmen/xmen-005.png
7,103.377358491,87.1886792453,65.6603773585,0.0401515151515,5.0,xmen/xmen-005.png
0,60.7482993197,52.4659863946,30.9659863946,0.222727272727,6.0,xmen/xmen-006.png
1,69.0284697509,62.334519573,42.2135231317,0.212878787879,6.0,xmen/xmen-006.png
2,49.9009009009,40.2747747748,19.6081081081,0.168939393939,6.0,xmen/xmen-006.png
3,35.3956043956,26.9615384615,12.9395604396,0.137121212121,6.0,xmen/xmen-006.png
4,17.5034013605,11.4897959184,6.25850340136,0.111363636364,6.0,xmen/xmen-006.png
5,85.3018867925,72.6698113208,54.0754716981,0.080303030303,6.0,xmen/xmen-006.png
