flowX,flowY,intensity
0,0,0
0.328965,-0.18185,0.0129244
1.01758,-0.17145,0.00588408
1.54417,-0.210327,0.00379739
1.93139,-0.218491,0.000926671
2.37667,-0.224221,0.0065406
2.53272,-0.104836,0.0139396
2.57429,0.0205383,0.0087616
1.98803,-0.112454,0.0119291
1.60913,-0.61855,0.0260075
0.59288,-0.58229,0.0357927
0.339054,-0.923763,0.0152126
0.485521,-0.997184,0.0447675
-0.0113277,-0.957295,0.0298488
0.150396,-0.478983,0.00738348
0.144916,-1.67954,0.000426035
0.058889,-1.78183,1.75353e-05
1.07471,0.191566,1.17913e-05
2.82183,2.15874,3.18539e-05
3.64026,2.80878,5.43614e-06
3.78865,3.93658,1.15151e-08
3.57447,5.423,0.000102243
2.00697,5.6621,0.00013149
1.33548,3.75256,8.23413e-05
-0.0343659,1.00976,0.000159455
-2.26354,0.750392,1.48864e-05
0.189824,-0.212007,2.47872e-07
-0.242405,-0.114973,5.50824
0.0390074,-0.7088,6.75891
0,0,0
-1.21715,-4.10966,8.17639
0.957554,-4.59865,5.37575
3.96588,-4.95816,5.53588
3.83194,-5.39794,6.36269
0.0645983,-4.89442,6.2436
-3.32233,-0.612874,6.50219
-3.1053,1.07258,6.94766
-2.24674,2.0594,5.12128
-0.878358,3.55617,5.65488
-3.18702,3.11251,11.0843
-6.84771,1.11656,14.6701
-6.66819,-2.94553,16.0375
-4.74999,-2.18675,14.2933
-3.28015,-0.543617,14.2554
-2.2622,1.89142,8.85108
-4.14037,2.42246,12.333
-3.89872,0.652293,18.8144
1.17185,0.218798,9.29456
2.77395,2.15519,14.6716
2.81101,4.2786,12.4511
1.68957,2.32824,6.68343
-6.74236,-2.42085,17.2087
-8.69724,-3.97464,10.0976
-11.4328,0.00272908,16.635
-12.478,3.90054,11.7959
-10.8079,7.0001,11.0881
-3.60703,1.48804,3.80191
-3.50744,4.14439,3.03852
0,0,0
-5.72157,-0.509421,7.2263
-5.81386,-3.6243,0.0314569
-5.49857,-2.29102,0.000683866
-5.86147,-2.46075,0.0131141
-4.80373,3.4837,0.0278534
-4.59497,5.02468,0.0805937
-2.92425,6.03379,0.152771
-1.00843,6.82068,0.439646
1.11995,2.97196,1.66574
1.98835,1.17751,4.96169
1.40018,-3.54548,10.1828
1.67644,-5.69886,16.5053
-1.58288,-2.44814,2.28945
-3.41023,-0.416356,1.51949
-4.42301,1.86192,4.75929
-4.13239,3.10364,8.85008
-4.79204,2.0165,17.1217
-3.03436,-2.46364,5.3513
-0.552758,-3.71543,4.5598
0.443435,-1.36404,2.44033
3.07386,2.39542,5.10148
2.33718,3.81096,7.14625
1.67357,4.73934,8.36747
1.51733,4.9997,6.86621
2.75345,1.39233,2.96727
1.83107,-2.18324,4.63973
-2.89734,-2.70054,6.36502
-5.12756,-1.11334,10.4673
-3.66483,1.45,5.26775
-2.12925,0.685962,3.26771
-1.61858,1.54696,3.24415
-2.04142,0.769678,3.23665
-0.996135,-3.31111,4.82942
0.882729,-5.15036,9.61644
3.5652,-3.06223,9.16432
3.43728,0.879478,3.09637
1.29972,3.1048,3.42173
-0.603727,1.85586,4.18913
-1.83066,0.117994,1.88957
-3.20443,0.542386,1.92882
-4.54902,1.07369,2.57152
-4.90559,0.0852911,1.59043
-3.68839,0.128317,1.45644
-0.359963,0.247712,5.72673
