flowX,flowY,intensity
0,0,0
-1.04202,0.0246203,0.0519629
-0.995245,0.0449967,0.0173308
-0.963922,0.0584486,0.0168411
-1.00601,0.038568,0.0322312
-0.934042,0.0116983,0.0384997
-0.967662,-0.0211551,0.0275533
-0.969471,-0.0814441,0.00715087
-0.903762,-0.0727796,0.0084764
-0.984883,-0.066641,0.0355842
-0.993897,-0.0582561,0.000488837
-0.935255,0.0248482,0.0212658
-1.00979,0.0491102,0.0023535
-1.01406,0.0606765,0.0427521
-0.951584,0.071207,0.00820748
-0.990088,0.0260035,0.00681639
-0.967207,-0.0287267,0.0157908
-0.926365,-0.0310742,0.00431041
-0.969254,-0.0639873,0.00696888
-0.996045,-0.0310746,0.0014326
-0.925439,-0.00946281,0.000397205
-1.00859,-0.012401,0.00052322
-1.02185,-0.0116223,0.000684646
-0.936156,0.018454,0.00246086
-1.00133,-0.0102379,0.000655393
-0.987786,-0.00116555,0.0110518
-0.973631,0.0127716,0.0085135
-0.975009,-0.00739628,0.0175944
-0.899811,-0.00999302,0.00534658
0,0,0.25
-1.00507,-0.0184955,0.00235038
-0.985794,-0.029964,0.00511664
-0.907381,-0.0175178,0.00263691
-0.967136,-0.0150413,0.00280661
-0.963059,-0.0137859,0.00590338
-0.882368,0.00832474,0.00431891
-0.953357,0.0023042,0.00432977
-0.937867,0.00406813,0.00151205
-0.911194,0.0162844,0.0018499
-0.957558,-0.0110252,0.00150853
-0.979566,-0.00343712,0.00606798
-0.955385,-0.00454401,0.00530911
-1.04682,-0.00756935,0.0152727
-1.06948,0.0108962,0.00137953
-1.00479,0.0150959,0.00314261
-1.02992,0.0101702,0.00343645
-1.04222,0.0220725,0.000769409
-0.926784,0.0144097,0.00207252
-0.995556,-0.0129604,0.00345842
-0.962162,-0.0219664,0.00144852
-0.901727,-0.0422982,0.000994352
-0.966832,-0.0595782,0.0017903
-0.987203,-0.0646196,0.0134367
-0.932369,-0.0589125,0.00869803
-1.0242,-0.0242513,0.00896112
-1.02461,0.0140949,0.00219274
-1.03764,0.0365295,0.00718076
-1.02097,0.0412286,0.000698536
0,0,0.25
-0.948397,0.0195649,0.000584532
-0.958385,-0.00610841,0.00062251
-0.905464,-0.0432609,0.000624907
-0.86554,-0.0486243,0.000553016
-0.93047,-0.0411983,0.00134888
-0.950978,-0.0293523,0.0114454
-0.886045,-0.0190147,0.024494
