flowX,flowY,intensity
0,0,0
-0.27214,0.0270988,0.0578792
-0.260118,-0.00867387,0.16998
-0.213019,0.0660391,0.0429516
-0.24729,0.0419303,0.0360836
-0.292638,0.0148558,0.0387955
-0.265249,-0.0861634,0.0292409
-0.273123,-0.0502676,0.0462164
-0.283717,0.0498091,0.0371853
-0.282345,0.0932951,0.0675422
-0.259389,0.12445,0.0350046
-0.269966,0.184134,0.157117
-0.303994,0.154156,0.303009
-0.297367,0.201475,0.232717
-0.229918,0.24097,0.276804
-0.101302,0.22183,0.244288
-0.0752776,0.229927,0.382282
-0.0422995,0.273252,0.444026
-0.0181567,0.377969,0.39495
-0.0420181,0.552575,0.483635
-0.0422796,0.790906,0.409021
-0.110895,0.583366,0.231008
-0.0952102,0.739,0.114822
-0.0537503,0.904871,0.134851
-0.00371721,0.808909,0.248397
-0.0201325,0.763153,0.510354
-0.0300284,0.588871,0.542576
-0.0394665,0.653026,0.475462
-0.0543402,0.544101,0.212353
0,0,1.4013e-45
-0.0533403,0.478023,0.17937
-0.0936521,0.490883,0.113736
-0.0733788,0.457399,0.160836
-0.0963253,0.459851,0.180401
-0.0591899,0.341413,0.124652
-0.0107857,0.365703,0.107498
0.010064,0.276485,0.124767
-0.0406826,0.354719,0.132033
0.0121711,0.251024,0.0824074
-0.0445951,0.211925,0.0855788
-0.0622341,0.172529,0.0919497
-0.0333142,0.219403,0.121968
-0.0561614,0.234856,0.257019
0.0337348,0.26802,0.0552151
0.0281324,0.22372,0.136446
-0.0336873,0.213752,0.134515
-0.127377,0.308705,0.171739
-0.0876916,0.444551,0.189191
-0.00658197,0.221769,0.130309
-0.0186165,0.278843,0.198522
-0.00280669,0.28353,0.170623
0.0381519,0.224492,0.184413
0.0484057,0.259473,0.1995
0.0190192,0.208238,0.095722
0.0177844,0.313557,0.260942
-0.0160507,0.26268,0.046059
0.0284634,0.212388,0.133448
0.0904623,0.276858,0.252394
0,0,0
0.177882,0.185534,0.146794
0.16786,0.264206,0.293535
0.213622,0.143287,0.135986
0.239549,0.0951907,0.247366
0.203757,0.201865,0.287276
0.193068,0.123188,0.187085
0.30182,0.069455,0.106712
0.151763,-0.0563016,0.0899145
0.169681,0.0235807,0.0775165
0.351332,0.0845815,0.094755
0.170901,0.234761,0.141036
0.180804,0.29785,0.180124
0.143075,0.333392,0.033611
0.211151,0.523964,0.158223
0.200201,0.80407,0.200247
0.215798,0.879495,0.248336
0.31558,0.994021,0.0711904
0.235713,1.01515,0.076019
0.153687,0.71769,0.29581
0.0767519,0.644351,0.0161966
0.101315,0.810706,0.123841
0.179674,0.903254,0.114015
0.130963,0.515011,0.1285
0.147406,0.298062,0.0881533
0.0118921,0.202925,0.12075
0.0298596,0.416258,0.0934471
0.0198632,-0.0171892,0.0853772
-0.0219026,0.127876,0.127809
0.0763505,0.132381,0.113688
0.0590684,0.0923311,0.105364
0.152366,0.0675504,0.105445
0.241577,0.228577,0.135517
0.107995,0.189203,0.11653
0.12105,0.0662789,0.0950127
0.16135,0.0880859,0.0810229
0.161269,0.143845,0.0591745
0.510116,0.172884,0.0834137
0.00506493,0.00750821,0.0613743
-0.083791,0.172471,0.0345529
0.038481,0.0758658,0.0699923
-0.175073,-0.0517192,0.0716776
0.0418635,0.190359,0.0438414
0.0133706,0.0313465,0.0387963
0.024087,0.111543,0.0843732
-0.00990736,0.0808084,0.0336647
-0.025881,0.0818027,0.0340826
-0.00452325,0.0251326,0.0112548
0.0234261,0.0297421,0.0405081
-0.0258593,0.357107,0.653047
-0.029889,-0.235544,0.000835902
0.0198449,-0.00680993,0.000624197
0.0153603,-0.000344429,1.62796e-05
0.016303,-0.00622372,0.000393688
0.00690456,-0.00195103,0.000555754
0.0161373,-0.00381759,8.73108e-05
0.0150528,-0.00111892,0.00116723
0.0140966,0.00311573,0.000981277
0,0,1.4013e-45
0.00389505,1.42004e-05,0.000873405
0.0092278,-0.000286165,1.1335e-05
0.00907058,0.0016884,0.000490571
0.0165699,0.0021706,0.000698155
0.00334301,0.000901691,0.000363379
0.0123173,-0.00226816,0.000362637
0.00494046,0.00125619,0.000773665
0.00572737,0.00325318,0.000175757
0.0072381,-0.00216958,1.25063e-06
0.00486249,0.00712006,2.2065e-06
0.00761855,0.00215477,1.40837e-06
0.0102778,0.000388187,1.52199e-06
0.0108366,-0.000667032,1.22993e-06
0.00610564,0.00443652,1.22994e-06
0.0134297,0.00117649,1.23985e-06
0.00673352,0.000743531,0.00116426
0.013566,-0.00186647,0.000682183
0.00709524,0.00458615,7.93412e-05
0.0170122,-0.00340302,0.000548695
0.0151823,0.00139779,4.43967e-07
0.00826656,-0.00643149,6.24886e-07
0.00951065,0.000147482,7.09366e-07
0.0131319,-0.000915077,0.000365106
0.0143742,-0.00553131,6.20797e-07
0.0102068,0.00192484,6.21118e-07
0.00996994,-0.00280035,6.20204e-07
0.0134005,0.00397982,6.23354e-07
0.00819815,-0.00198885,0.000271817
0.00426686,0.00086106,1.13004e-06
0.00677605,0.000356636,8.31196e-07
0.00824531,-0.000720289,9.86869e-07
0.003349,-0.00028587,1.80109e-06
0.00152022,0.00101623,1.04475e-06
-0.00113487,-0.00134425,7.62102e-07
0.00337437,-0.00353803,7.53677e-07
0.00145453,0.00599139,0.000750556
0.00690672,-0.00153667,2.53109e-06
0.00527554,0.00413215,6.50279e-05
0.00117904,-0.00603165,0.000176052
0.00487774,0.00454316,0.000377863
0.00231644,-0.00098375,1.72765e-06
-0.000781472,0.00311548,2.72606e-06
0.0020125,0.00415913,8.25081e-06
0.015624,0.00793008,2.86605e-05
0.00141121,0.00333986,1.02503e-06
0.0068918,0.000132172,6.2843e-05
0.0134598,0.00329504,6.32031e-05
0.00594308,-0.00139164,0.000544301
0.0114256,0.00260429,3.70565e-05
0.0135147,-0.00279167,5.86039e-05
0.0168515,-0.00424709,6.44591e-05
0.00776763,0.00624126,3.88251e-05
0.0128097,0.00129169,3.01098e-06
0.01068,0.00156287,1.26785e-06
