flowX,flowY,intensity
0,0,0
-0.0537347,0.00164875,0.00207755
-0.0613402,-0.0041204,0.00621968
-0.0443251,0.00371824,0.00444296
-0.0588172,0.00572714,0.016469
-0.0529151,0.0100781,0.0164239
-0.0645472,0.00118305,0.0235104
-0.0407278,0.00522373,0.0223125
-0.0442782,0.00555482,0.0327979
-0.0703384,-0.00127485,0.0341098
-0.0352568,-0.00232959,0.0325224
-0.0437738,0.00723149,0.0301261
-0.0564655,-0.0133027,0.0629657
-0.0581603,0.00305702,0.0530452
-0.0459323,-0.0110853,0.0488329
-0.057257,-0.0257193,0.0704601
-0.0454848,-0.00914582,0.0379954
-0.0593135,-0.0205476,0.106442
-0.038412,-0.0317964,0.039939
-0.061605,-0.0424382,0.154751
-0.0619545,-0.0442049,0.0689101
-0.0587396,-0.0416265,0.14633
-0.037821,-0.0348966,0.164817
-0.0408019,-0.050483,0.0998884
-0.0415921,-0.0352944,0.124987
-0.0434463,-0.0777565,0.1855
-0.0536998,-0.102847,0.140573
-0.0643828,-0.0937938,0.197644
-0.0609088,-0.137745,0.201899
0,0,0
-0.0571104,-0.112804,0.180912
-0.0575034,-0.0716513,0.245801
-0.0709864,-0.0657591,0.158066
-0.0713935,-0.042538,0.230148
-0.078482,-0.0352847,0.138161
-0.0669378,-0.0312116,0.185928
-0.0947915,-0.0146931,0.218397
-0.104781,-0.0122684,0.20301
-0.069815,-0.00419945,0.149306
-0.101726,-0.00540239,0.216699
-0.117514,-0.00169441,0.257803
-0.0973508,0.00203647,0.229733
-0.0799851,-0.004253,0.243834
-0.0985596,-0.00988781,0.27495
-0.0941922,-0.00148279,0.20638
-0.0872294,-0.00877367,0.236839
-0.136035,-0.0195178,0.262496
-0.0739377,-0.00545439,0.306082
-0.0892142,-0.00754351,0.25155
-0.105596,-0.0109746,0.324682
-0.0919059,-0.00510512,0.257334
-0.101568,-0.00583482,0.246457
-0.118158,-0.013687,0.377227
-0.0575838,-0.00381449,0.157612
-0.0991286,-0.00444267,0.385625
