flowX,flowY,intensity
0,0,0
-0.00298654,-0.115311,0.068356
-0.0428161,-0.0832292,0.0550526
-0.0114128,-0.0246171,0.044036
-0.00448838,-0.0257619,0.0610977
-0.020361,-0.0943523,0.043723
-0.0356934,-0.0646445,0.0223999
-0.0254263,-0.023198,0.0150421
-0.0222124,0.00211684,0.0138145
-0.0419639,-0.0294299,0.0589696
-0.0496448,-0.0243488,0.0320254
-0.0559219,-0.0263034,0.0346696
-0.0383755,-0.0222374,0.063659
-0.0454986,-0.0758648,0.0493126
-0.0943388,-0.0855724,0.0569848
-0.0547627,-0.0426269,0.0267036
-0.108343,-0.0309336,0.0673186
-0.131317,-0.121067,0.0362839
-0.126906,-0.112017,0.0331016
-0.0910816,-0.147056,0.0221426
-0.0167362,-0.165942,0.0393275
0.020642,-0.0961826,0.0326031
0.0132375,-0.0959396,0.0138895
-0.0124328,-0.0833271,0.0129768
-0.04249,-0.0880047,0.0325428
-0.0333716,0.00322563,0.0231436
-0.0227102,0.017231,0.0446527
-0.0683637,0.0944663,0.0128417
-0.0122106,0.0739804,0.0638145
0,0,0
-0.0070187,0.0880855,0.0151292
-0.00609195,0.121072,0.0156815
-0.00354548,0.0834074,0.0175639
-0.0184242,0.0701259,0.0358982
-0.00531883,0.0920899,0.0317081
-0.0220359,0.00481816,0.0277606
-0.0463122,-0.0160125,0.0422167
-0.10037,-0.0205379,0.0604588
-0.0207724,-0.000795936,0.0477157
-0.0475718,0.0113615,0.0265356
-0.0880625,-0.00564177,0.0488731
-0.059445,0.0119067,0.0701027
-0.106611,0.0300383,0.0739171
-0.0805289,0.0181967,0.040945
-0.0703355,0.0370832,0.0413571
-0.109461,0.0592773,0.00994248
-0.0537469,-0.0102899,0.0136902
-0.0390735,-0.00128396,0.010418
-0.0612438,0.0183292,0.0205361
-0.0221878,0.0111051,0.0248788
-0.0142428,0.0174409,0.0397166
-0.0159161,0.0875734,0.0153528
0.00607168,0.0508186,0.0177068
-0.0933695,0.0944708,0.0644769
-0.0408649,0.0431732,0.0375742
-0.092523,0.10161,0.0379362
0.331857,-0.0642322,0.0216051
0.772247,0.0652787,0.0905703
0,0,0
1.2652,0.113107,0.011483
1.39887,-0.0225837,0.0213428
1.35622,0.112503,0.0434881
1.18709,0.221268,0.0248231
0.975863,0.261344,0.0211172
0.763158,0.214549,0.00919783
0.473789,0.19792,0.0690819
0.21351,0.18305,0.0552954
0.0399924,0.133191,0.0537729
-0.00541646,0.136432,0.0308809
0.000629221,0.156046,0.0454208
-0.269222,0.0544524,0.00199775
-0.745066,-0.142102,0.00189743
-1.04815,-0.37759,0.215968
-1.34483,-0.56318,0.201201
-1.46214,-0.572233,0.525391
-1.84075,-0.659449,0.70465
-1.80216,-0.776909,1.00078
-1.5229,-0.861314,0.987825
-1.21067,-0.540747,0.838591
-0.801252,-0.424341,0.660886
-0.593892,-0.479999,0.56939
-0.301871,-0.483837,0.61468
-0.0937959,-0.375367,0.367297
-0.0523939,-0.440448,0.440943
-0.0116064,-0.59064,0.538844
-0.0134695,-0.409977,0.381936
0.232921,-0.422938,0.50833
0.347946,-0.378352,0.479202
0.230534,-0.306844,0.333483
0.339211,-0.128673,0.401564
0.292068,-0.02411,0.380911
0.157409,-0.0551142,0.210552
0.279242,-0.0757055,0.262886
0.249616,0.0155511,0.360692
0.233789,0.0744181,0.263443
0.209041,0.123261,0.281388
0.163818,0.239869,0.330405
0.187578,0.150065,0.321034
0.144357,0.0528216,0.241406
0.128761,0.14557,0.231315
0.0966205,0.167768,0.198457
0.0175719,0.0319414,0.144148
0.0651817,0.0556753,0.166067
0.0760496,0.139822,0.271793
0.0960222,0.193241,0.140595
0.119762,0.123155,0.14004
0.0688367,0.189874,0.228081
0.117804,0.221741,0.249509
0.0677985,0.0793059,0.218035
0.0497178,-0.00449851,0.0150945
0.0433495,0.0787508,0.230995
0.0262683,0.115101,0.0388171
0.0104249,0.102187,0.173711
-0.00410976,0.015396,0.0776017
0.0138674,0.0306985,0.0297524
0.0259493,0.0919251,0.155072
0,0,0
0.0442867,0.111214,0.0465965
0.0434241,0.0914824,0.0851599
0.0465469,0.103779,0.104822
0.154151,0.14678,0.10272
0.0945535,0.118038,0.0829728
0.100793,0.104429,0.0949204
0.0733955,0.10326,0.1054
0.0704281,0.087212,0.119649
0.133582,0.187487,0.0981807
0.0953335,0.174341,0.283065
0.0793442,0.0793696,0.225048
0.0645157,0.109178,0.098743
0.0953464,0.148198,0.127003
0.0221968,0.0819965,0.171015
0.00365305,0.0531667,0.00466861
-0.0228581,0.099488,0.0995045
-0.0344497,0.109628,0.0559822
-0.0752651,0.0676375,0.100634
-0.0651627,0.0627258,0.102408
-0.0250723,0.0489619,0.0153433
-0.0347071,0.0762556,0.00462181
-0.00917279,0.0482997,0.00461697
-0.00590014,0.071876,0.012256
0.0739276,0.068971,0.110854
0.040918,0.0364519,0.0679628
0.0638792,0.0323379,0.0527675
0.135421,0.0938401,0.08234
0.122216,1.23859,3.59857
0.016284,0.274791,0.226694
-0.00606824,0.208267,0.329127
-0.0312892,0.0905703,0.123765
-0.0401737,0.205433,0.118744
-0.0291286,0.197409,0.143854
-0.0864358,0.1638,0.142931
-0.0211264,0.117662,0.0582326
-0.0586939,0.20851,0.138985
-0.157401,0.158404,0.216456
-0.0560549,0.0318561,0.0526291
-0.107156,0.11939,0.102045
-0.0842216,0.086357,0.0972677
-0.0739325,0.0596884,0.095002
-0.0787867,0.058559,0.117621
-0.0933923,0.0854796,0.096122
-0.0435489,0.0714387,0.0997169
-0.0711795,0.0685212,0.125509
-0.0801859,0.0755474,0.120825
-0.0507962,0.0710302,0.0877324
-0.0393041,0.0544783,0.06484
-0.0380608,0.0737567,0.0789897
-0.0398195,0.100188,0.0787969
-0.0183289,0.100573,0.138133
-0.0262324,0.113058,0.129523
-0.0343985,0.193621,0.243583
-0.0189494,0.201349,0.266057
-0.0435559,0.167729,0.184639
-0.0456084,0.204329,0.193315
-0.0172068,0.133053,0.16963
-0.0439592,0.104471,0.146933
-0.106738,0.127065,0.143929
-0.0120527,0.0634386,0.163592
-0.0317547,0.105769,0.225326
-0.0278735,0.132489,0.194454
-0.0339736,0.134067,0.150898
-0.0347465,0.122565,0.145565
-0.020575,0.109347,0.0503612
-0.0314637,0.0993684,0.0240738
-0.013555,0.108732,0.023044
-0.0149297,0.0620455,0.0285455
-0.0382028,0.0479414,0.039598
-0.0275127,0.0483947,0.0276137
-0.00780513,0.077872,0.0793236
0.00085251,0.0562724,0.0654733
-0.0033476,0.0309365,0.00491333
0.00828888,0.0166941,0.00703113
-0.0370153,0.0316986,0.108284
-0.0246082,-0.00665072,0.00241259
-0.068853,-0.146182,0.160134
-0.0804198,-0.154307,0.343093
-0.0651008,-0.139895,0.1696
-0.0977077,-0.165564,0.168099
-0.0441968,-0.203755,0.173234
-0.0764044,-0.182501,0.174297
-0.171842,-0.184142,0.272401
-0.0963425,-0.200882,0.258314
0,0,0
-0.0705381,-0.216284,0.168376
0,0,0
-0.0835727,-0.16492,0.160918
0,0,0
-0.150337,-0.104795,0.138986
0,0,0
-0.0957518,-0.0914449,0.150721
-0.093756,0.0129511,0.00956607
-0.121636,0.0196429,0.0110183
0.422762,-1.27105,7.06937
0.00669737,-0.0478091,0.0520833
0.0265639,-0.0917125,0.0302596
0.0341879,-0.0374213,0.032703
0.0411105,-0.0379246,0.0439389
0.0143559,-0.0241965,0.0695148
0.0400338,-0.0437735,0.0497835
0.0294214,-0.0412054,0.0240764
0.0461921,-0.0447107,0.0116478
0.0244377,-0.0311054,0.041926
0.0665642,-0.0315325,0.0136625
0.0201393,-0.0171456,0.00265071
0.0500336,-0.0508034,0.0979784
0.0471082,-0.0538835,0.0510336
0.065347,-0.0289374,0.0649888
0,0,0
0.0432713,-0.0113696,0.00283337
0,0,0
0.0468343,-0.0163416,0.00179722
0,0,0
0.0102328,-0.00552903,0.00179711
0,0,0
0.0143876,-0.00298483,0.00192898
0.00755553,-0.012184,0.00190982
0.0205255,-0.0845819,0.0663096
0.0215859,-0.0453307,0.032405
0.0265141,-0.0344149,0.0281962
0.0437369,-0.0223301,0.0277152
0.0278491,-0.0193311,0.0132139
0.030168,-0.00227305,0.0189562
0.0133069,-0.0092548,0.0556046
0.02581,-0.0146942,0.0383085
0.00368219,-0.00313727,0.00157354
0.0147373,-0.049897,0.0865533
0.0460946,-0.17543,0.133055
0.0350925,-0.0851352,0.0524029
0.00292798,-0.0552844,0.0821848
0.0119705,-0.0789476,0.0790114
-0.000249398,-0.0287096,0.0511181
